coin_id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,USD.price,USD.volume_24h,USD.volume_change_24h,USD.percent_change_1h,USD.percent_change_24h,USD.percent_change_7d,USD.percent_change_30d,USD.percent_change_60d,USD.percent_change_90d,USD.market_cap,USD.market_cap_dominance,USD.fully_diluted_market_cap,USD.last_updated,VCtag_0,VCtag_1,VCtag_2,VCtag_3,VCtag_4,VCtag_5,VCtag_6,VCtag_7,VCtag_8,VCtag_9,VCtag_10,VCtag_11,VCtag_12,VCtag_13,VCtag_14,VCtag_15,VCtag_16,VCtag_17,VCtag_18,VCtag_19,VCtag_20,VCtag_21,VCtag_22,VCtag_23,VCtag_24,VCtag_25,VCtag_26,VCtag_27,VCtag_28
1,Bitcoin,BTC,bitcoin,9090,2013-04-28T00:00:00.000Z,21000000.0,18939681.0,18939681.0,,1,2022-01-25T16:14:00.000Z,36644.03841383838,30626147113.881268,-8.0474,0.98128458,7.3725777,-11.81893787,-26.84244012,-32.5647393,-37.63339101,694026398109.845,42.0991,769524806690.61,2022-01-25T16:14:00.000Z,mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,
1027,Ethereum,ETH,ethereum,5474,2015-08-07T00:00:00.000Z,,119307477.374,119307477.374,,2,2022-01-25T16:14:00.000Z,2430.0464178158218,19215084175.10373,-17.5295,1.759182,7.2550892,-22.04740138,-40.03124973,-40.22150331,-38.99287768,289922708011.3309,17.5733,289922708011.33,2022-01-25T16:14:00.000Z,mineable,pow,smart-contracts,ethereum-ecosystem,binance-smart-chain,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio
825,Tether,USDT,tether,26678,2015-02-25T00:00:00.000Z,,78157666178.46318,80076563060.0816,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,2022-01-25T16:14:00.000Z,1.0004057795079357,66441759399.666336,-11.6942,0.00096971,0.00648741,-0.00612379,0.03806212,-0.07312756,-0.02041727,78189380957.78648,4.7393,80109056488.44,2022-01-25T16:14:00.000Z,payments,stablecoin,asset-backed-stablecoin,binance-smart-chain,avalanche-ecosystem,solana-ecosystem,moonriver-ecosystem,,,,,,,,,,,,,,,,,,,,,,
1839,BNB,BNB,bnb,651,2017-07-25T00:00:00.000Z,165116760.0,165116760.89,165116760.89,,4,2022-01-25T16:14:00.000Z,372.7626154813994,2543095064.7035284,-12.5846,1.0669152,6.46360258,-18.9798033,-31.48886336,-36.49176809,-17.89190738,61549355649.17323,3.7335,61549355317.41,2022-01-25T16:14:00.000Z,marketplace,centralized-exchange,payments,smart-contracts,binance-smart-chain,alameda-research-portfolio,multicoin-capital-portfolio,moonriver-ecosystem,,,,,,,,,,,,,,,,,,,,,
3408,USD Coin,USDC,usd-coin,2859,2018-10-08T00:00:00.000Z,,48329126170.62674,48329126170.62674,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",5,2022-01-25T16:14:00.000Z,1.0003318786598359,5168779130.622256,-18.2168,0.01557554,-0.02130103,-0.02418634,0.12941733,0.02364978,0.02720535,48345165576.25128,2.9304,48345165576.25,2022-01-25T16:14:00.000Z,medium-of-exchange,stablecoin,asset-backed-stablecoin,binance-smart-chain,fantom-ecosystem,moonriver-ecosystem,,,,,,,,,,,,,,,,,,,,,,,
2010,Cardano,ADA,cardano,358,2017-10-01T00:00:00.000Z,45000000000.0,33553179909.538,34007996390.184,,6,2022-01-25T16:14:00.000Z,1.0341826758052688,2208334677.1003366,-19.3086,1.84231568,1.80743799,-28.70561044,-28.16300499,-33.34248069,-47.06688019,34700117380.6216,2.1033,46538220411.24,2022-01-25T16:14:00.000Z,mineable,dpos,pos,platform,research,smart-contracts,staking,binance-smart-chain,cardano-ecosystem,,,,,,,,,,,,,,,,,,,,
5426,Solana,SOL,solana,241,2020-04-10T00:00:00.000Z,,314689960.971941,511616946.142289,,7,2022-01-25T16:14:00.000Z,93.46202219040411,3233131870.4786463,-16.8964,2.07003216,7.84228625,-31.5017032,-52.86071846,-51.31002315,-50.4536759,29411560115.456955,1.7827,47816754373.34,2022-01-25T16:14:00.000Z,pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okex-blockdream-ventures-portfolio,,,,,,,,,,,,,,,,,,,,,
52,XRP,XRP,xrp,675,2013-08-04T00:00:00.000Z,100000000000.0,47736918345.0,99989798601.0,,8,2022-01-25T16:14:00.000Z,0.6049016331714467,1967512262.7124798,-17.8853,1.31244172,4.37753022,-18.59288474,-34.06000036,-36.15349466,-40.56991249,28876139869.462498,1.7503,60490163317.14,2022-01-25T16:14:00.000Z,medium-of-exchange,enterprise-solutions,binance-chain,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,
4172,Terra,LUNA,terra-luna,140,2019-07-26T00:00:00.000Z,,401973521.8479833,819838348.384004,,9,2022-01-25T16:14:00.000Z,64.16254541841417,3281942497.8813076,-14.5895,1.39812015,-1.48007447,-16.66783257,-34.80874526,51.05353863,60.83670121,25791644352.57113,1.5628,52602915263.95,2022-01-25T16:14:00.000Z,cosmos-ecosystem,store-of-value,defi,payments,coinbase-ventures-portfolio,binance-labs-portfolio,solana-ecosystem,arrington-xrp-capital-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,pantera-capital-portfolio,terra-ecosystem,,,,,,,,,,,,,,,,
74,Dogecoin,DOGE,dogecoin,442,2013-12-15T00:00:00.000Z,,132670764299.89409,132670764299.89409,,10,2022-01-25T16:14:00.000Z,0.14014834593681924,1350655612.3903525,2.1151,0.97896615,6.7560978,-14.14068125,-25.71091021,-31.22967758,-42.59467283,18593588170.803764,1.1279,18593588170.8,2022-01-25T16:14:00.000Z,mineable,pow,scrypt,medium-of-exchange,memes,payments,binance-smart-chain,doggone-doggerel,,,,,,,,,,,,,,,,,,,,,
